By province,Regional GDP per Capita,Gross Regional Income per Capita,Individual Income per Capita,Private Consumption per Capita
Whole country,46491,47306,25536,23202
Seoul,58255,65994,29372,27767
Busan,34762,35373,24026,23042
Daegu,30985,34344,23760,22307
Incheon,38840,41203,24665,21661
Gwangju,35452,38019,25378,23096
Daejeon,36645,40976,26493,23355
Ulsan,81235,60576,28102,23345
Sejong City,43174,47220,25995,23499
Gyeonggi-do,43070,47899,25696,22878
Gangwon State,40713,37509,23326,21277
Chungcheongbuk-do,54214,45499,24667,20999
Chungcheongnam-do,64709,49838,23647,20949
Jeonbuk State,36283,36239,24157,20394
Jeollanam-do,55513,44838,24604,20332
Gyeongsangbuk-do,48812,41091,22921,21078
Gyeongsangnam-do,42144,38879,22769,21756
Jeju,38450,36307,22893,23595
